iter	Passed	Remaining
401	14028	47041
402	14060	46995
403	14092	46950
404	14125	46909
405	14157	46865
406	14187	46814
407	14226	46793
408	14274	46803
409	14306	46757
410	14336	46707
411	14368	46663
412	14401	46620
413	14432	46575
414	14483	46590
415	14516	46549
416	14549	46508
417	14584	46473
418	14615	46428
419	14648	46386
420	14680	46341
421	14710	46293
422	14757	46294
423	14788	46250
424	14820	46203
425	14853	46164
426	14884	46117
427	14915	46071
428	14947	46028
429	14985	46002
430	15016	45956
431	15050	45918
432	15082	45875
433	15124	45862
434	15178	45883
435	15208	45834
436	15240	45789
437	15272	45746
438	15304	45704
439	15335	45658
440	15378	45646
441	15411	45606
442	15444	45567
443	15477	45527
444	15509	45483
445	15544	45449
446	15596	45464
447	15629	45424
448	15661	45379
449	15693	45336
450	15728	45301
451	15765	45274
452	15798	45231
453	15829	45188
454	15859	45139
455	15891	45095
456	15923	45053
457	15955	45010
458	15998	44996
459	16029	44951
460	16061	44910
461	16093	44866
462	16125	44823
463	16168	44812
464	16199	44765
465	16230	44721
466	16260	44673
467	16292	44630
468	16324	44587
469	16369	44580
470	16401	44538
471	16437	44507
472	16472	44471
473	16505	44431
474	16543	44405
475	16587	44395
476	16621	44357
477	16652	44314
478	16684	44271
479	16715	44226
480	16746	44180
481	16786	44161
482	16819	44120
483	16851	44077
484	16881	44030
485	16912	43986
486	16957	43979
487	16988	43932
488	17020	43890
489	17050	43842
490	17080	43797
491	17112	43754
492	17160	43753
493	17192	43712
494	17225	43673
495	17258	43634
496	17290	43592
497	17322	43548
498	17353	43505
499	17398	43495
500	17431	43457
501	17463	43414
502	17494	43371
503	17528	43335
504	17568	43313
505	17601	43273
506	17632	43228
507	17664	43186
508	17696	43144
509	17726	43100
510	17758	43058
511	17800	43041
512	17831	42997
513	17862	42952
514	17894	42911
515	17926	42869
516	17957	42826
517	17997	42804
518	18033	42773
519	18065	42731
520	18096	42687
521	18126	42642
522	18157	42599
523	18189	42558
524	18234	42546
525	18285	42550
526	18316	42505
527	18347	42464
528	18378	42419
529	18412	42383
530	18443	42339
531	18489	42330
532	18526	42302
533	18561	42266
534	18592	42224
535	18623	42181
536	18662	42155
537	18703	42134
538	18733	42090
539	18764	42047
540	18798	42009
541	18829	41966
542	18861	41926
543	18906	41914
544	18939	41875
545	18970	41833
546	19003	41793
547	19035	41753
548	19068	41714
549	19104	41681
550	19134	41636
551	19164	41593
552	19196	41551
553	19236	41528
554	19279	41512
555	19310	41469
556	19342	41427
557	19375	41389
558	19407	41350
559	19438	41305
560	19473	41272
561	19525	41273
562	19556	41232
563	19589	41193
564	19619	41149
565	19650	41107
566	19687	41076
567	19724	41047
568	19756	41006
569	19791	40970
570	19823	40931
571	19854	40889
572	19885	40847
573	19923	40819
574	19960	40788
575	19991	40745
576	20021	40702
577	20054	40664
578	20084	40619
579	20115	40577
580	20162	40568
581	20193	40524
582	20223	40482
583	20254	40440
584	20287	40402
585	20326	40375
586	20357	40333
587	20394	40304
588	20426	40262
589	20460	40226
590	20493	40190
591	20532	40163
592	20564	40122
593	20594	40079
594	20625	40037
595	20656	39996
596	20687	39953
597	20735	39944
598	20766	39904
599	20798	39862
600	20828	39819
601	20866	39792
602	20906	39766
603	20937	39725
604	20968	39683
605	20999	39643
606	21032	39604
607	21062	39561
608	21093	39519
609	21123	39477
610	21166	39457
611	21196	39414
612	21227	39373
613	21260	39334
614	21296	39302
615	21327	39262
616	21359	39222
617	21392	39185
618	21422	39141
619	21466	39123
620	21508	39102
621	21540	39063
622	21572	39023
623	21604	38984
624	21635	38943
625	21667	38904
626	21699	38864
627	21743	38847
628	21774	38806
629	21807	38768
630	21838	38726
631	21868	38685
632	21900	38645
633	21945	38629
634	21976	38587
635	22006	38545
636	22038	38506
637	22068	38464
638	22099	38423
639	22147	38411
640	22178	38371
641	22209	38330
642	22240	38289
643	22272	38249
644	22313	38227
645	22365	38221
646	22396	38182
647	22429	38143
648	22464	38109
649	22496	38070
650	22534	38042
651	22565	38001
652	22595	37959
653	22626	37918
654	22658	37878
655	22691	37842
656	22737	37827
657	22768	37786
658	22800	37747
659	22833	37709
660	22864	37669
661	22907	37648
662	22938	37607
663	22969	37566
664	22999	37525
665	23031	37486
666	23063	37448
667	23110	37433
668	23142	37394
669	23175	37357
670	23206	37317
671	23237	37276
672	23269	37237
673	23327	37240
674	23360	37203
675	23392	37165
676	23428	37133
677	23461	37095
678	23493	37056
679	23540	37041
680	23571	37000
681	23602	36960
682	23634	36922
683	23665	36882
684	23697	36844
685	23740	36822
686	23790	36810
687	23821	36770
688	23851	36729
689	23883	36690
690	23915	36652
691	23948	36614
692	23992	36594
693	24022	36552
694	24053	36513
695	24085	36474
696	24115	36432
697	24145	36390
698	24176	36351
699	24227	36341
700	24257	36300
701	24288	36260
702	24323	36225
703	24363	36199
704	24408	36179
705	24442	36144
706	24474	36105
707	24503	36063
708	24535	36024
709	24582	36008
710	24613	35967
711	24642	35926
712	24673	35885
713	24703	35844
714	24734	35804
715	24768	35769
716	24803	35735
717	24837	35698
718	24869	35660
719	24900	35621
720	24933	35584
721	24965	35546
722	25017	35535
723	25046	35494
724	25078	35455
725	25109	35415
726	25139	35374
727	25170	35335
728	25205	35302
729	25237	35263
730	25269	35225
731	25302	35188
732	25334	35150
733	25365	35111
734	25408	35087
735	25441	35051
736	25472	35012
737	25505	34974
738	25536	34935
739	25573	34903
740	25604	34865
741	25635	34825
742	25666	34786
743	25697	34746
744	25746	34731
745	25777	34692
746	25809	34654
747	25842	34617
748	25885	34594
749	25931	34575
750	25962	34535
751	25995	34498
752	26025	34459
753	26057	34420
754	26087	34379
755	26119	34342
756	26161	34317
757	26192	34277
758	26222	34238
759	26255	34201
760	26288	34164
761	26321	34128
762	26364	34104
763	26398	34069
764	26431	34032
765	26464	33996
766	26495	33956
767	26526	33918
768	26558	33880
769	26594	33847
770	26624	33807
771	26656	33769
772	26688	33731
773	26719	33692
774	26769	33677
775	26799	33637
776	26831	33600
777	26863	33562
778	26893	33522
779	26924	33482
780	26970	33462
781	27001	33423
782	27032	33384
783	27063	33345
784	27095	33308
785	27126	33269
786	27171	33247
787	27201	33207
788	27235	33173
789	27270	33138
790	27303	33102
791	27336	33065
792	27374	33035
793	27408	33000
794	27440	32963
795	27472	32925
796	27503	32886
797	27534	32848
798	27571	32816
799	27602	32777
800	27633	32739
801	27664	32700
802	27696	32663
803	27744	32645
804	27775	32605
805	27806	32567
806	27839	32531
807	27869	32491
808	27898	32451
809	27945	32431
810	27977	32393
811	28008	32354
812	28040	32317
813	28072	32279
814	28103	32241
815	28141	32211
816	28178	32179
817	28210	32141
818	28241	32103
819	28274	32067
820	28308	32032
821	28339	31993
822	28379	31966
823	28411	31928
824	28442	31889
825	28471	31849
826	28503	31812
827	28534	31773
828	28568	31739
829	28599	31700
830	28631	31663
831	28662	31625
832	28695	31588
833	28726	31551
834	28765	31520
835	28796	31483
836	28827	31445
837	28858	31407
838	28899	31379
839	28938	31349
840	28968	31311
841	28998	31271
842	29029	31233
843	29060	31195
844	29102	31168
845	29151	31149
846	29182	31111
847	29213	31073
848	29245	31036
849	29278	31001
850	29324	30978
851	29362	30947
852	29397	30913
853	29430	30877
854	29460	30838
855	29490	30800
856	29542	30783
857	29574	30746
858	29605	30708
859	29637	30670
860	29681	30646
861	29712	30608
862	29742	30569
863	29774	30532
864	29808	30497
865	29840	30460
866	29884	30435
867	29915	30397
868	29945	30358
869	29975	30320
870	30006	30281
871	30038	30245
872	30087	30225
873	30117	30186
874	30149	30149
875	30179	30110
876	30210	30072
877	30256	30049
878	30304	30028
879	30339	29994
880	30372	29959
881	30405	29922
882	30436	29884
883	30467	29847
884	30506	29816
885	30537	29779
886	30568	29741
887	30598	29702
888	30629	29664
889	30660	29626
890	30692	29589
891	30723	29552
892	30761	29521
893	30795	29486
894	30827	29449
895	30860	29413
896	30890	29375
897	30923	29339
898	30954	29302
899	31001	29278
900	31032	29241
901	31064	29204
902	31095	29167
903	31128	29131
904	31171	29104
905	31201	29066
906	31234	29030
907	31267	28994
908	31300	28959
909	31333	28923
910	31387	28907
911	31420	28870
912	31450	28832
913	31481	28794
914	31511	28756
915	31541	28718
916	31582	28689
917	31621	28658
918	31652	28621
919	31681	28581
920	31713	28545
921	31749	28512
922	31791	28484
923	31822	28447
924	31854	28410
925	31886	28373
926	31917	28337
927	31961	28311
928	31995	28275
929	32026	28238
930	32058	28201
931	32091	28166
932	32136	28140
933	32166	28102
934	32197	28065
935	32230	28029
936	32263	27994
937	32299	27960
938	32350	27940
939	32380	27902
940	32411	27864
941	32442	27827
942	32474	27791
943	32503	27752
944	32556	27733
945	32587	27696
946	32619	27659
947	32651	27623
948	32682	27585
949	32712	27547
950	32751	27517
951	32784	27481
952	32815	27443
953	32845	27405
954	32875	27367
955	32922	27343
956	32953	27306
957	32987	27271
958	33017	27233
959	33048	27196
960	33078	27158
961	33122	27131
962	33155	27095
963	33187	27059
964	33219	27023
965	33250	26985
966	33284	26951
967	33325	26922
968	33357	26886
969	33388	26848
970	33418	26810
971	33450	26774
972	33481	26737
973	33516	26703
974	33548	26666
975	33579	26629
976	33611	26593
977	33652	26564
978	33685	26528
979	33714	26490
980	33746	26453
981	33783	26421
982	33820	26388
983	33850	26351
984	33883	26315
985	33913	26277
986	33945	26241
987	33990	26215
988	34020	26177
989	34049	26139
990	34081	26102
991	34112	26065
992	34148	26032
993	34181	25997
994	34223	25968
995	34254	25931
996	34289	25897
997	34331	25869
998	34363	25833
999	34395	25796
1000	34426	25759
1001	34456	25722
1002	34493	25689
1003	34524	25652
1004	34556	25616
1005	34587	25579
1006	34621	25544
1007	34651	25507
1008	34687	25474
1009	34717	25436
1010	34747	25399
1011	34779	25363
1012	34811	25326
1013	34857	25301
1014	34887	25263
1015	34921	25228
1016	34951	25191
1017	34981	25154
1018	35019	25121
1019	35050	25085
1020	35081	25048
1021	35113	25012
1022	35144	24975
1023	35175	24939
1024	35215	24908
1025	35251	24875
1026	35285	24841
1027	35320	24807
1028	35353	24771
1029	35386	24735
1030	35417	24699
1031	35462	24672
1032	35493	24635
1033	35525	24599
1034	35557	24563
1035	35587	24526
1036	35618	24489
1037	35649	24453
1038	35682	24418
1039	35713	24381
1040	35749	24348
1041	35781	24312
1042	35811	24275
1043	35842	24238
1044	35874	24202
1045	35906	24166
1046	35936	24129
1047	35972	24096
1048	36002	24058
1049	36032	24021
1050	36062	23984
1051	36094	23948
1052	36145	23925
1053	36178	23890
1054	36211	23854
1055	36246	23821
1056	36280	23786
1057	36313	23751
1058	36345	23715
1059	36388	23686
1060	36424	23653
1061	36455	23617
1062	36486	23580
1063	36517	23544
1064	36549	23508
1065	36586	23475
1066	36617	23439
1067	36649	23403
1068	36683	23368
1069	36715	23333
1070	36764	23308
1071	36795	23272
1072	36827	23235
1073	36859	23199
1074	36890	23163
1075	36922	23128
1076	36960	23096
1077	37008	23070
1078	37041	23034
1079	37071	22998
1080	37103	22962
1081	37136	22927
1082	37182	22899
1083	37216	22865
1084	37252	22832
1085	37295	22803
1086	37331	22769
1087	37363	22733
1088	37394	22697
1089	37425	22661
1090	37455	22624
1091	37488	22589
1092	37524	22555
1093	37555	22519
1094	37585	22482
1095	37617	22446
1096	37649	22411
1097	37694	22383
1098	37731	22350
1099	37762	22314
1100	37792	22277
1101	37823	22240
1102	37853	22204
1103	37885	22168
1104	37924	22136
1105	37955	22100
1106	37987	22065
1107	38020	22030
1108	38053	21994
1109	38085	21959
1110	38118	21923
1111	38155	21891
1112	38187	21855
1113	38223	21822
1114	38257	21788
1115	38293	21754
1116	38324	21718
1117	38377	21694
1118	38408	21658
1119	38440	21622
1120	38471	21586
1121	38507	21553
1122	38537	21516
1123	38570	21481
1124	38602	21445
1125	38635	21410
1126	38685	21385
1127	38718	21350
1128	38752	21315
1129	38786	21281
1130	38819	21246
1131	38869	21220
1132	38901	21184
1133	38933	21148
1134	38967	21114
1135	38997	21077
1136	39029	21042
1137	39060	21006
1138	39103	20976
1139	39134	20940
1140	39165	20904
1141	39201	20870
1142	39234	20835
1143	39271	20802
1144	39304	20767
1145	39334	20731
1146	39365	20695
1147	39402	20662
1148	39434	20626
1149	39465	20590
1150	39496	20554
1151	39527	20518
1152	39558	20482
1153	39595	20449
1154	39628	20414
1155	39658	20378
1156	39689	20341
1157	39727	20309
1158	39767	20278
1159	39797	20241
1160	39829	20206
1161	39861	20170
1162	39891	20134
1163	39922	20098
1164	39953	20062
1165	39983	20026
1166	40020	19993
1167	40052	19957
1168	40083	19921
1169	40114	19885
1170	40144	19849
1171	40188	19819
1172	40223	19786
1173	40258	19752
1174	40289	19716
1175	40321	19680
1176	40351	19644
1177	40401	19617
1178	40433	19582
1179	40463	19546
1180	40495	19510
1181	40526	19474
1182	40558	19439
1183	40590	19404
1184	40632	19373
1185	40663	19337
1186	40693	19301
1187	40725	19265
1188	40756	19230
1189	40800	19200
1190	40849	19173
1191	40883	19138
1192	40916	19103
1193	40947	19067
1194	40978	19031
1195	41009	18996
1196	41040	18960
1197	41080	18928
1198	41113	18893
1199	41144	18857
1200	41179	18824
1201	41213	18789
1202	41245	18754
1203	41296	18727
1204	41328	18692
1205	41360	18656
1206	41392	18621
1207	41438	18592
1208	41469	18556
1209	41501	18521
1210	41532	18485
1211	41565	18450
1212	41598	18415
1213	41640	18384
1214	41670	18348
1215	41704	18314
1216	41735	18278
1217	41766	18242
1218	41804	18210
1219	41836	18174
1220	41866	18138
1221	41897	18102
1222	41928	18067
1223	41959	18031
1224	41990	17996
1225	42022	17960
1226	42059	17927
1227	42092	17892
1228	42122	17856
1229	42157	17822
1230	42194	17789
1231	42227	17754
1232	42264	17721
1233	42294	17685
1234	42326	17650
1235	42358	17615
1236	42388	17579
1237	42420	17543
1238	42451	17508
1239	42482	17472
1240	42512	17436
1241	42563	17409
1242	42598	17375
1243	42630	17340
1244	42661	17304
1245	42693	17269
1246	42723	17233
1247	42775	17206
1248	42806	17170
1249	42842	17136
1250	42874	17101
1251	42904	17065
1252	42948	17035
1253	42982	17001
1254	43013	16965
1255	43045	16930
1256	43078	16895
1257	43108	16859
1258	43143	16825
1259	43179	16792
1260	43224	16761
1261	43253	16725
1262	43284	16689
1263	43315	16654
1264	43345	16618
1265	43378	16583
1266	43426	16554
1267	43457	16519
1268	43489	16484
1269	43519	16448
1270	43551	16413
1271	43582	16377
1272	43627	16347
1273	43659	16312
1274	43691	16277
1275	43723	16242
1276	43754	16206
1277	43787	16171
1278	43828	16140
1279	43860	16104
1280	43905	16074
1281	43934	16038
1282	43965	16003
1283	44016	15974
1284	44053	15941
1285	44090	15908
1286	44128	15875
1287	44163	15841
1288	44197	15806
1289	44245	15777
1290	44276	15741
1291	44307	15706
1292	44337	15670
1293	44367	15634
1294	44416	15605
1295	44448	15570
1296	44478	15534
1297	44509	15499
1298	44540	15464
1299	44588	15434
1300	44618	15398
1301	44649	15363
1302	44683	15328
1303	44718	15294
1304	44748	15259
1305	44790	15227
1306	44821	15192
1307	44852	15156
1308	44882	15120
1309	44913	15085
1310	44951	15052
1311	44991	15020
1312	45024	14985
1313	45057	14950
1314	45091	14916
1315	45126	14882
1316	45161	14848
1317	45207	14817
1318	45237	14782
1319	45268	14746
1320	45301	14711
1321	45332	14676
1322	45378	14645
1323	45408	14610
1324	45440	14575
1325	45470	14539
1326	45505	14505
1327	45544	14472
1328	45575	14437
1329	45605	14401
1330	45637	14366
1331	45669	14331
1332	45701	14296
1333	45732	14261
1334	45778	14230
1335	45811	14196
1336	45842	14160
1337	45872	14125
1338	45905	14090
1339	45936	14055
1340	45976	14022
1341	46007	13987
1342	46037	13951
1343	46069	13916
1344	46102	13882
1345	46137	13848
1346	46170	13813
1347	46207	13780
1348	46238	13744
1349	46269	13709
1350	46300	13674
1351	46331	13638
1352	46362	13603
1353	46412	13573
1354	46444	13539
1355	46477	13504
1356	46508	13469
1357	46538	13433
1358	46571	13399
1359	46602	13363
1360	46643	13331
1361	46676	13296
1362	46708	13262
1363	46739	13226
1364	46772	13192
1365	46804	13157
1366	46843	13124
1367	46876	13089
1368	46906	13054
1369	46937	13019
1370	46971	12984
1371	47006	12950
1372	47043	12917
1373	47079	12883
1374	47113	12849
1375	47145	12814
1376	47178	12779
1377	47210	12744
1378	47243	12710
1379	47293	12680
1380	47325	12645
1381	47357	12610
1382	47390	12575
1383	47422	12540
1384	47452	12505
1385	47495	12473
1386	47528	12438
1387	47559	12403
1388	47590	12368
1389	47621	12333
1390	47657	12299
1391	47688	12264
1392	47718	12229
1393	47749	12194
1394	47780	12159
1395	47810	12123
1396	47852	12091
1397	47883	12056
1398	47913	12021
1399	47946	11986
1400	47979	11952
1401	48015	11918
1402	48057	11885
1403	48089	11851
1404	48122	11816
1405	48155	11781
1406	48185	11746
1407	48215	11711
1408	48245	11676
1409	48277	11641
1410	48316	11608
1411	48350	11573
1412	48384	11539
1413	48417	11505
1414	48452	11471
1415	48487	11436
1416	48527	11404
1417	48559	11369
1418	48591	11334
1419	48622	11299
1420	48654	11264
1421	48693	11231
1422	48724	11196
1423	48756	11161
1424	48788	11127
1425	48823	11093
1426	48857	11058
1427	48889	11024
1428	48926	10990
1429	48961	10956
1430	48991	10921
1431	49023	10886
1432	49059	10852
1433	49095	10818
1434	49141	10787
1435	49173	10752
1436	49204	10717
1437	49236	10682
1438	49267	10647
1439	49299	10613
1440	49336	10579
1441	49373	10545
1442	49403	10510
1443	49435	10475
1444	49468	10441
1445	49506	10408
1446	49537	10373
1447	49568	10338
1448	49599	10303
1449	49631	10268
1450	49662	10233
1451	49702	10200
1452	49731	10165
1453	49762	10130
1454	49795	10096
1455	49830	10061
1456	49865	10027
1457	49896	9992
1458	49926	9958
1459	49959	9923
1460	49989	9888
1461	50021	9853
1462	50058	9820
1463	50107	9788
1464	50138	9753
1465	50170	9719
1466	50201	9684
1467	50233	9649
1468	50273	9616
1469	50324	9585
1470	50356	9550
1471	50386	9515
1472	50416	9480
1473	50458	9448
1474	50495	9414
1475	50526	9379
1476	50556	9344
1477	50586	9309
1478	50618	9274
1479	50650	9240
1480	50695	9208
1481	50725	9173
1482	50756	9138
1483	50787	9103
1484	50820	9069
1485	50851	9034
1486	50895	9001
