iter	Logloss
0	0.6864733194
1	0.6797774799
2	0.6732315843
3	0.667084754
4	0.6608733993
5	0.6548350246
6	0.6488822009
7	0.6430511016
8	0.6376187129
9	0.6322314065
10	0.6268226511
11	0.6216654161
12	0.6168281254
13	0.6120886474
14	0.6074198116
15	0.6029822363
16	0.5983836541
17	0.594271857
18	0.5901177498
19	0.5860928914
20	0.581964751
21	0.5779033217
22	0.5740835044
23	0.5702972366
24	0.5670267884
25	0.5633896356
26	0.5600968942
27	0.5568310505
28	0.5535440188
29	0.5503818121
30	0.5473015372
31	0.5442210283
32	0.5413175465
33	0.5385725764
34	0.5359861421
35	0.5332096995
36	0.530431408
37	0.5277819892
38	0.5254342319
39	0.5229400547
40	0.5205327059
41	0.518004235
42	0.5158970803
43	0.5138474032
44	0.5117166729
45	0.5096372313
46	0.5075630709
47	0.5056712669
48	0.5037201864
49	0.5017090632
50	0.4999373157
51	0.4981648557
52	0.4965666031
53	0.4948546729
54	0.493101858
55	0.491400696
56	0.4898372976
57	0.4883937462
58	0.4869268724
59	0.4854436504
60	0.4837650511
61	0.4823760205
62	0.4810403415
63	0.4798844154
64	0.4785313102
65	0.477290356
66	0.4759759415
67	0.4747974441
68	0.4736160273
69	0.4723555734
70	0.471191354
71	0.4701300432
72	0.4688876816
73	0.4678716297
74	0.4667970152
75	0.4657898391
76	0.4646965087
77	0.4635743071
78	0.462478013
79	0.4614423315
80	0.4604193921
81	0.4593983318
82	0.4584912559
83	0.4576354122
84	0.4566982436
85	0.4557427722
86	0.4549242491
87	0.4540655378
88	0.4532150174
89	0.4523718445
90	0.4516107722
91	0.4508148474
92	0.4500676632
93	0.4494383095
94	0.4487385621
95	0.4479793207
96	0.4473102532
97	0.4465597131
98	0.4458554959
99	0.4452056392
100	0.4445606736
101	0.4440116776
102	0.4434191029
103	0.4427427625
104	0.4421448745
105	0.4415354387
106	0.4410009234
107	0.4404095933
108	0.439835585
109	0.4392989829
110	0.4387176884
111	0.4382091297
112	0.4376137617
113	0.4370307884
114	0.436566036
115	0.4359824375
116	0.4355023907
117	0.4350158277
118	0.4345605383
119	0.4340617403
120	0.4336410487
121	0.4331621833
122	0.4327984351
123	0.4323208501
124	0.4319060913
125	0.4314956532
126	0.4310444622
127	0.4306578356
128	0.4302030828
129	0.4298009082
130	0.4293749149
131	0.428983433
132	0.4286330669
133	0.4283180663
134	0.4279653189
135	0.4276239034
136	0.4272376678
137	0.4269108718
138	0.4265890785
139	0.426228851
140	0.4258732563
141	0.4255308946
142	0.4251746764
143	0.4248502025
144	0.4245166504
145	0.4242064062
146	0.4238922963
147	0.4236297317
148	0.4232808878
149	0.4229623383
150	0.4226808851
151	0.4224494924
152	0.4221330175
153	0.421868942
154	0.4215658729
155	0.4213007796
156	0.421010517
157	0.4207214502
158	0.4204338458
159	0.4201636637
160	0.4199147022
161	0.4196572182
162	0.419426531
163	0.419188362
164	0.4189831282
165	0.4187191957
166	0.4185338559
167	0.4182671982
168	0.418051539
169	0.4178184579
170	0.4175676121
171	0.4173575586
172	0.4171323356
173	0.4169429515
174	0.4167622581
175	0.4165620776
176	0.4163486509
177	0.4161254107
178	0.4159060576
179	0.4156847159
180	0.4154733801
181	0.4152917205
182	0.4150803111
183	0.4149012662
184	0.4146951819
185	0.4144954015
186	0.4142693629
187	0.4140962852
188	0.4139487746
189	0.4137537669
190	0.4135433076
191	0.4133729042
192	0.4132050574
